location,total_assistance,total_households,total_allocation,pct_spent,not_spent,type,state_abbr,program
New Hampshire,10276710.0,1928.0,46175507.12,0.2226,35898797.12,state_only,NH,ERA2
Delaware,0.0,0.0,38519572.64,0.0,38519572.64,state_only,DE,ERA2
Rhode Island,2002334.0,407.0,11585606.88,0.1728,9583272.88,state_only,RI,ERA2
California,196597787.0,21299.0,2128763649.1600003,0.0924,1932165862.1600003,state_total,CA,ERA2
Texas,219821243.0,56202.0,1455149669.1200004,0.1511,1235328426.1200004,state_total,TX,ERA2
New York,5522118.0,677.0,1273382738.26,0.0043,1267860620.26,state_total,NY,ERA2
Pennsylvania,59252399.0,17202.0,647802450.32,0.0915,588550051.32,state_total,PA,ERA2
Florida,36059021.0,5510.0,534583599.06,0.0675,498524578.06,state_total,FL,ERA2
Illinois,31467569.0,3303.0,299604064.52000004,0.105,268136495.52000004,state_total,IL,ERA2
Georgia,13660691.0,3639.0,278564330.54,0.049,264903639.54000002,state_total,GA,ERA2
Ohio,47209.0,28.0,275742671.32,0.0002,275695462.32,state_total,OH,ERA2
North Carolina,21769068.0,6262.0,257903267.82000005,0.0844,236134199.82000005,state_total,NC,ERA2
Michigan,1355596.0,214.0,227473675.48,0.006,226118079.48,state_total,MI,ERA2
New Jersey,183939923.0,22463.0,214211330.64000005,0.8587,30271407.640000045,state_total,NJ,ERA2
Virginia,10542955.0,2199.0,203597486.0,0.0518,193054531.0,state_total,VA,ERA2
Oregon,0.0,0.0,202512432.60000002,0.0,202512432.60000002,state_total,OR,ERA2
Arizona,10061404.0,2096.0,170327519.03999996,0.0591,160266115.03999996,state_total,AZ,ERA2
