state,date,fy_value,fy_pct,ytd_value,ytd_pct
Montana,2007,90355.0,0.029451976757434162,12371.0,-0.03200312989045384
Montana,2008,97599.0,0.08017265231586523,13172.0,0.06474820143884896
Montana,2009,101976.0,0.04484677097101408,16318.0,0.23883996355906478
Montana,2010,101095.0,-0.00863928767553146,15296.0,-0.06263022429219267
Montana,2011,108974.0,0.07793659429249722,15629.0,0.021770397489539794
Montana,2012,134455.0,0.2338264173105511,20342.0,0.3015548019706955
Montana,2013,137830.0,0.02510133501915135,29894.0,0.4695703470651853
Montana,2014,121836.0,-0.11604150039904226,18625.0,-0.3769652773131732
Montana,2015,127705.0,0.04817131225581939,19261.0,0.034147651006711355
Montana,2016,136337.0,0.0675932813907052,23366.0,0.21312496755100985
Montana,2017,123938.0,-0.09094376434863605,18380.0,-0.21338697252418048
Montana,2018,117607.0,-0.05108199260920787,17431.0,-0.05163220892274212
Montana,2019,115823.0,-0.015169165100716753,15919.0,-0.08674201135907289
Montana,2020,172695.0,0.49102509864189314,19947.0,0.2530309692819901
Montana,2021,30030.0,-0.8261096152175802,30030.0,0.505489547300346
Nebraska,1999,47959.0,0.597036297036297,6331.0,-0.7891774891774892
Nebraska,2000,44825.0,-0.06534748430951443,6480.0,0.023534986574000882
Nebraska,2001,44401.0,-0.009459007250418261,6127.0,-0.05447530864197536
Nebraska,2002,43177.0,-0.027566946690389837,6793.0,0.10869920026113933
Nebraska,2003,44758.0,0.036616717233712404,6796.0,0.00044163109082884233
Nebraska,2004,48436.0,0.08217525358595101,6746.0,-0.007357268981753928
Nebraska,2005,48172.0,-0.005450491370055377,7548.0,0.11888526534242505
Nebraska,2006,51221.0,0.0632940297268123,8371.0,0.10903550609432955
