defensiveZoneFaceoffLosses,defensiveZoneFaceoffWins,defensiveZoneFaceoffs,evFaceoffs,evFaceoffsLost,evFaceoffsWon,faceoffWinPct,gameDate,gameId,gamesPlayed,homeRoad,lastName,neutralZoneFaceoffLosses,neutralZoneFaceoffWins,neutralZoneFaceoffs,offensiveZoneFaceoffLosses,offensiveZoneFaceoffWins,offensiveZoneFaceoffs,opponentTeamAbbrev,playerId,positionCode,ppFaceoffs,ppFaceoffsLost,ppFaceoffsWon,shFaceoffs,shFaceoffsLost,shFaceoffsWon,skaterFullName,teamAbbrev,totalFaceoffLosses,totalFaceoffWins,totalFaceoffs,game_type
,,,14,4,10,0.6,2006-01-23,2005020716,1,R,Bergeron,,,,,,,WSH,8470638,C,2,1,1,4,3,1,Patrice Bergeron,BOS,8,12,20,2
,,,1,0,1,1.0,2005-11-12,2005020255,1,R,Bergeron,,,,,,,NYI,8470638,C,1,0,1,2,0,2,Patrice Bergeron,BOS,0,4,4,2
,,,8,3,5,0.625,2006-01-12,2005020642,1,H,Bergeron,,,,,,,LAK,8470638,C,5,2,3,3,1,2,Patrice Bergeron,BOS,6,10,16,2
,,,13,3,10,0.75,2005-10-18,2005020090,1,R,Bergeron,,,,,,,MTL,8470638,C,2,1,1,1,0,1,Patrice Bergeron,BOS,4,12,16,2
,,,22,7,15,0.62962,2006-04-06,2005021133,1,H,Bergeron,,,,,,,TOR,8470638,C,4,2,2,1,1,0,Patrice Bergeron,BOS,10,17,27,2
,,,13,6,7,0.55,2006-04-13,2005021183,1,H,Bergeron,,,,,,,MTL,8470638,C,5,3,2,2,0,2,Patrice Bergeron,BOS,9,11,20,2
,,,12,3,9,0.63157,2006-03-25,2005021046,1,H,Bergeron,,,,,,,BUF,8470638,C,4,2,2,3,2,1,Patrice Bergeron,BOS,7,12,19,2
,,,14,7,7,0.40909,2006-04-11,2005021173,1,R,Bergeron,,,,,,,OTT,8470638,C,6,5,1,2,1,1,Patrice Bergeron,BOS,13,9,22,2
,,,10,3,7,0.64285,2006-01-30,2005020768,1,R,Bergeron,,,,,,,OTT,8470638,C,2,1,1,2,1,1,Patrice Bergeron,BOS,5,9,14,2
,,,9,4,5,0.55555,2005-12-27,2005020536,1,R,Bergeron,,,,,,,WSH,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,4,5,9,2
